text,entity,headline,label,sentiment_str
"[TARGET: ABB, BHEL] ABB, BHEL better than L&T at the moment: Deepak Mohoni","ABB, BHEL","ABB, BHEL better than L&T at the moment: Deepak Mohoni",2,positive
"[TARGET: Tata Steel] Tata Steel, JSPL top Nifty losers, sink over Goa mining ban uncertainty",Tata Steel,"Tata Steel, JSPL top Nifty losers, sink over Goa mining ban uncertainty",0,negative
"[TARGET: Dollar] Dollar firms, hits 7-year high vs yen after U.S. elections",Dollar,"Dollar firms, hits 7-year high vs yen after U.S. elections",2,positive
[TARGET: Asian stocks] Asian stocks mixed; link date lifts Hong Kong and Shanghai,Asian stocks,Asian stocks mixed; link date lifts Hong Kong and Shanghai,1,neutral
[TARGET: P-Notes] P-Notes investment at 11-month low of Rs 1.47 lakh crore in June,P-Notes,P-Notes investment at 11-month low of Rs 1.47 lakh crore in June,0,negative
"[TARGET: HDIL] Unitech, DLF, HDIL bottomed out, 5-7% upside from is visible: Sandeep Wagle",HDIL,"Unitech, DLF, HDIL bottomed out, 5-7% upside from is visible: Sandeep Wagle",2,positive
"[TARGET: Dimensions Consulting] Hopeful of Tata Motors, Maruti in auto pack: Dimensions Consulting",Dimensions Consulting,"Hopeful of Tata Motors, Maruti in auto pack: Dimensions Consulting",1,neutral
"[TARGET: Hyundai Motors] Hyundai Motors shares slips 10%, lowest in nearly 5 years",Hyundai Motors,"Hyundai Motors shares slips 10%, lowest in nearly 5 years",0,negative
[TARGET: PC Jeweller] PC Jeweller Q3 net up by 19% at Rs 79.98 crore,PC Jeweller,PC Jeweller Q3 net up by 19% at Rs 79.98 crore,2,positive
[TARGET: gold] Jump in gold price could damp demand: Trade official,gold,Jump in gold price could damp demand: Trade official,0,negative
[TARGET: Greenply Industries] Greenply Industries Q2 Net up 39% to Rs 37.03 crore,Greenply Industries,Greenply Industries Q2 Net up 39% to Rs 37.03 crore,2,positive
[TARGET: Akzo Nobel India] Akzo Nobel India reported Rs 60.89 crore PAT in Q1 of FY13,Akzo Nobel India,Akzo Nobel India reported Rs 60.89 crore PAT in Q1 of FY13,1,neutral
[TARGET: HUL] Brokerages remain bearish on HUL as growth challenges remain,HUL,Brokerages remain bearish on HUL as growth challenges remain,0,negative
"[TARGET: Rupee] July 16, 2014: Mecklai Financial report on Rupee",Rupee,"July 16, 2014: Mecklai Financial report on Rupee",1,neutral
[TARGET: Indian markets] Risk to reward ratio looks unattractive in Indian markets: CLSA,Indian markets,Risk to reward ratio looks unattractive in Indian markets: CLSA,0,negative
"[TARGET: Nifty] Bank, IT stocks to underperform Nifty in the short run: Ashwani Gujral",Nifty,"Bank, IT stocks to underperform Nifty in the short run: Ashwani Gujral",1,neutral
[TARGET: Nifty] 6500 to 6800 is now the range for the Nifty: Sandeep Wagle,Nifty,6500 to 6800 is now the range for the Nifty: Sandeep Wagle,1,neutral
[TARGET: HDFC] Here's what to expect from HDFC Q4 results; net profit to grow by 6.2% YoY,HDFC,Here's what to expect from HDFC Q4 results; net profit to grow by 6.2% YoY,2,positive
[TARGET: ACC Ltd] Sell ACC Ltd with a stop loss of Rs 1416: Mitesh Thacker,ACC Ltd,Sell ACC Ltd with a stop loss of Rs 1416: Mitesh Thacker,0,negative
"[TARGET: Sensex] Sensex directionless, Nifty holds 7600; top 20 trading ideas",Sensex,"Sensex directionless, Nifty holds 7600; top 20 trading ideas",1,neutral
"[TARGET: Copper] Copper, nickel soften on global cues",Copper,"Copper, nickel soften on global cues",0,negative
"[TARGET: S&P 500] Tech leads Nasdaq, S&P 500; Disney sparks media selloff",S&P 500,"Tech leads Nasdaq, S&P 500; Disney sparks media selloff",1,neutral
[TARGET: Voltas] Voltas shares slump 6% as top brokerages downgrade on earnings concern,Voltas,Voltas shares slump 6% as top brokerages downgrade on earnings concern,0,negative
[TARGET: RIL] RILs 4.3% surge helps Sensex gain 322 points,RIL,RILs 4.3% surge helps Sensex gain 322 points,2,positive
"[TARGET: Mecklai Financial] November 13, 2013: Mecklai Financial report on rupee",Mecklai Financial,"November 13, 2013: Mecklai Financial report on rupee",1,neutral
"[TARGET: Nirmal Jain] Net worth of brokerage firms like Motilal Oswal, Rashesh Shah, Nirmal Jain up by 60%-140% due to current rally",Nirmal Jain,"Net worth of brokerage firms like Motilal Oswal, Rashesh Shah, Nirmal Jain up by 60%-140% due to current rally",2,positive
[TARGET: Icra] Icra hits record high as Moodys ups stake to 50%,Icra,Icra hits record high as Moodys ups stake to 50%,2,positive
[TARGET: DB Realty] DB Realty rallies over 3% as Q2 profit rises to Rs 10 crore,DB Realty,DB Realty rallies over 3% as Q2 profit rises to Rs 10 crore,2,positive
"[TARGET: BSE currency derivatives] BSE currency derivatives volume at Rs 2,000-cr mark",BSE currency derivatives,"BSE currency derivatives volume at Rs 2,000-cr mark",1,neutral
"[TARGET: Gold] Gold dips below Rs 28,000-level on weak global cues",Gold,"Gold dips below Rs 28,000-level on weak global cues",0,negative
[TARGET: Yum] Yum beats Q3 profit expectations,Yum,Yum beats Q3 profit expectations,2,positive
[TARGET: PowerGrid] PowerGrid net jumps 21 pc to Rs Rs 591 cr in Oct-Dec,PowerGrid,PowerGrid net jumps 21 pc to Rs Rs 591 cr in Oct-Dec,2,positive
[TARGET: Neyveli Corp] Neyveli Corp: Tamil Nadu government offer referred to Sebi,Neyveli Corp,Neyveli Corp: Tamil Nadu government offer referred to Sebi,1,neutral
[TARGET: Oracle Financial Services] Oracle Financial Services plunges on dispute with Irish customer,Oracle Financial Services,Oracle Financial Services plunges on dispute with Irish customer,0,negative
[TARGET: Securities Appellate Tribunal] Securities Appellate Tribunal will hear RIL's plea against Sebi on June 14,Securities Appellate Tribunal,Securities Appellate Tribunal will hear RIL's plea against Sebi on June 14,1,neutral
[TARGET: Rajesh Exports] Jewellery major Rajesh Exports clocks 64.2% jump in PAT in FY12,Rajesh Exports,Jewellery major Rajesh Exports clocks 64.2% jump in PAT in FY12,2,positive
[TARGET: Tata Power] Tata Power posts Rs 247 crore profit in September quarter,Tata Power,Tata Power posts Rs 247 crore profit in September quarter,1,neutral
[TARGET: Mafatlal Industries] Mafatlal Industries Q1 net up three fold at Rs 13.05 cr,Mafatlal Industries,Mafatlal Industries Q1 net up three fold at Rs 13.05 cr,2,positive
"[TARGET: TCS] Sensex rangebound, Nifty reclaims 8100; TCS, Tech Mahindra top gainers",TCS,"Sensex rangebound, Nifty reclaims 8100; TCS, Tech Mahindra top gainers",2,positive
[TARGET: Abott India] Drug firm Abott India posts Rs 38.40 crore net profit in January-March quarter,Abott India,Drug firm Abott India posts Rs 38.40 crore net profit in January-March quarter,1,neutral
"[TARGET: Infosys] Post Q2 results & guidance, foreign brokerages turn cautious on Infosys",Infosys,"Post Q2 results & guidance, foreign brokerages turn cautious on Infosys",0,negative
"[TARGET: Axis Bank] SUUTI to sell 9% in Axis Bank via block trades, govt plans to mop up Rs 5,500-cr",Axis Bank,"SUUTI to sell 9% in Axis Bank via block trades, govt plans to mop up Rs 5,500-cr",1,neutral
[TARGET: Tea] Tea prices likely to rise 15-35% post elections on low offerings at the auctions,Tea,Tea prices likely to rise 15-35% post elections on low offerings at the auctions,2,positive
[TARGET: Cement] Cement got its quota of allocation: Sudip Bandyopadhyay,Cement,Cement got its quota of allocation: Sudip Bandyopadhyay,1,neutral
[TARGET: Wall Street] Wall Street takes opposite paths,Wall Street,Wall Street takes opposite paths,1,neutral
[TARGET: Aircel] Aircel Appoints Kaizad Heerjee as Chief Operating Officer,Aircel,Aircel Appoints Kaizad Heerjee as Chief Operating Officer,1,neutral
[TARGET: Edserv Softsystems] Sebi attaches accounts in Edserv Softsystems IPO,Edserv Softsystems,Sebi attaches accounts in Edserv Softsystems IPO,1,neutral
[TARGET: Standard Chartered] Standard Chartered appoints former SBI chief OP Bhatt as board member,Standard Chartered,Standard Chartered appoints former SBI chief OP Bhatt as board member,1,neutral
[TARGET: Steel] Steel prices remain steady in thin trade,Steel,Steel prices remain steady in thin trade,1,neutral
"[TARGET: RBS] FIIs, sovereign funds to keep India mkt full of liquidity: RBS",RBS,"FIIs, sovereign funds to keep India mkt full of liquidity: RBS",1,neutral
"[TARGET: Hrudayalaya] Tepid response to Hrudayalaya IPO, 26% subscribed on Day 2",Hrudayalaya,"Tepid response to Hrudayalaya IPO, 26% subscribed on Day 2",0,negative
"[TARGET: Devangvisaria.com] Trade long on infrastructure stocks: Devang Visaria, Devangvisaria.com",Devangvisaria.com,"Trade long on infrastructure stocks: Devang Visaria, Devangvisaria.com",1,neutral
[TARGET: Sensex] Three factors that hit markets; Sensex ends 240 points down,Sensex,Three factors that hit markets; Sensex ends 240 points down,0,negative
[TARGET: WSJ] Forex Lawsuit Settlements near $2 billion: WSJ,WSJ,Forex Lawsuit Settlements near $2 billion: WSJ,1,neutral
"[TARGET: Heritage Food] Heritage Food, RSWM top two stocks ideas for next 3 months: G Chokkalingam, Equinomics",Heritage Food,"Heritage Food, RSWM top two stocks ideas for next 3 months: G Chokkalingam, Equinomics",2,positive
[TARGET: FMC] No stock limits on commodities in regulated warehouses: FMC,FMC,No stock limits on commodities in regulated warehouses: FMC,1,neutral
[TARGET: Gold] Gold stuck near 7-1/2 month low; set for worst week since May,Gold,Gold stuck near 7-1/2 month low; set for worst week since May,0,negative
[TARGET: Viceroy Hotels] Viceroy Hotels rallies over 9% on stake sale reports,Viceroy Hotels,Viceroy Hotels rallies over 9% on stake sale reports,2,positive
[TARGET: RBI] Rupee near 10-month high on WPI; RBI seen stepping in,RBI,Rupee near 10-month high on WPI; RBI seen stepping in,1,neutral
[TARGET: PwC] PwC report reveals MCX Staffs questionable endorsement pacts,PwC,PwC report reveals MCX Staffs questionable endorsement pacts,1,neutral
"[TARGET: Pepsi] Coca-Cola takes on Pepsi, woos IPL fans outside stadium venues at Rs 10-15 per bottle",Pepsi,"Coca-Cola takes on Pepsi, woos IPL fans outside stadium venues at Rs 10-15 per bottle",0,negative
[TARGET: Ess Dee Aluminium] Ess Dee Aluminium surges on promoters stake sale buzz,Ess Dee Aluminium,Ess Dee Aluminium surges on promoters stake sale buzz,2,positive
"[TARGET: HUL] Believe some more upside is left in HUL, ITC: Sandeep Wagle",HUL,"Believe some more upside is left in HUL, ITC: Sandeep Wagle",2,positive
[TARGET: Jimmy Choo] Shoe maker Jimmy Choo to step out on London market,Jimmy Choo,Shoe maker Jimmy Choo to step out on London market,1,neutral
[TARGET: HPCL] HPCL to gain most from diesel deregulation: Jefferies,HPCL,HPCL to gain most from diesel deregulation: Jefferies,2,positive
[TARGET: Pharma sector] Valuations have been fairly expensive in Pharma sector: IV Subramaniam,Pharma sector,Valuations have been fairly expensive in Pharma sector: IV Subramaniam,0,negative
"[TARGET: SBBJ] SBBJ, SBT, SBM all toe the SBI line: Sharyans Resources",SBBJ,"SBBJ, SBT, SBM all toe the SBI line: Sharyans Resources",1,neutral
"[TARGET: palladium] Platinum extends gains to 5th day, palladium near 3-year top",palladium,"Platinum extends gains to 5th day, palladium near 3-year top",2,positive
"[TARGET: BSE] HDFC, L&T fall on BSE ahead of Q2 numbers",BSE,"HDFC, L&T fall on BSE ahead of Q2 numbers",1,neutral
[TARGET: US stocks] Can the party in US stocks keep going in 2015?,US stocks,Can the party in US stocks keep going in 2015?,1,neutral
[TARGET: Rubber] Rubber trades in bear market as China stockpiles swell,Rubber,Rubber trades in bear market as China stockpiles swell,0,negative
[TARGET: Sebi] Numero Uno Clothing files IPO papers with Sebi,Sebi,Numero Uno Clothing files IPO papers with Sebi,1,neutral
"[TARGET: PSUs] PSUs languishing in valuations, but offer pockets of hope",PSUs,"PSUs languishing in valuations, but offer pockets of hope",1,neutral
[TARGET: IRB Infrastructure] Emkay maintains 'buy' on IRB Infrastructure post service tax order,IRB Infrastructure,Emkay maintains 'buy' on IRB Infrastructure post service tax order,2,positive
"[TARGET: Coal India] Pricing will do the trick for Coal India IPO: Avinash Gorakshekar, Anagram Capital Ltd",Coal India,"Pricing will do the trick for Coal India IPO: Avinash Gorakshekar, Anagram Capital Ltd",1,neutral
[TARGET: India Inc] India Incs RoE may improve this fiscal,India Inc,India Incs RoE may improve this fiscal,2,positive
[TARGET: Biocon] Biocon shares fall after July-September earnings,Biocon,Biocon shares fall after July-September earnings,0,negative
[TARGET: Goldman Sachs] MARKET CUE: Here are 3 changes Goldman Sachs expects from the Fed on Wednesday,Goldman Sachs,MARKET CUE: Here are 3 changes Goldman Sachs expects from the Fed on Wednesday,1,neutral
"[TARGET: Nifty] Sensex rangebound, Nifty near 8150 levels; top 15 stocks in focus",Nifty,"Sensex rangebound, Nifty near 8150 levels; top 15 stocks in focus",1,neutral
[TARGET: Clariant Chemicals] Clariant Chemicals Q2 net slips to Rs 24 cr,Clariant Chemicals,Clariant Chemicals Q2 net slips to Rs 24 cr,0,negative
"[TARGET: Sterling] Sterling slips as Scottish vote nears, soft UK inflation could hurt",Sterling,"Sterling slips as Scottish vote nears, soft UK inflation could hurt",0,negative
[TARGET: Deccan Chronicle] Debt is going to be a drag on Deccan Chronicle:  Angel Broking,Deccan Chronicle,Debt is going to be a drag on Deccan Chronicle:  Angel Broking,0,negative
[TARGET: Alstom T&D] Alstom T&D fourth quarter net profit falls 13% to Rs 54 crore,Alstom T&D,Alstom T&D fourth quarter net profit falls 13% to Rs 54 crore,0,negative
[TARGET: ADAG stocks] ADAG stocks extend gain for 2nd day; Rel Infra surges 5.20 %,ADAG stocks,ADAG stocks extend gain for 2nd day; Rel Infra surges 5.20 %,2,positive
"[TARGET: ITC] ITC, Godrej Consumer, United Spirits & Jubilant Foods top bets in consumer sector for 2015: CLSA",ITC,"ITC, Godrej Consumer, United Spirits & Jubilant Foods top bets in consumer sector for 2015: CLSA",2,positive
[TARGET: VRL Logistics] VRL Logistics IPO subscribed 0.47 times on Day 1,VRL Logistics,VRL Logistics IPO subscribed 0.47 times on Day 1,1,neutral
[TARGET: Dewan Housing] Dewan Housing slips over 3% on fund raising plan via share sale,Dewan Housing,Dewan Housing slips over 3% on fund raising plan via share sale,0,negative
"[TARGET: Asia stocks] US Federal Reserve optimism lifts Asia stocks, dollar struggles",Asia stocks,"US Federal Reserve optimism lifts Asia stocks, dollar struggles",2,positive
[TARGET: NBHC] Vijay Kelkar appointed chairman of NBHC,NBHC,Vijay Kelkar appointed chairman of NBHC,1,neutral
