text,entity,headline,label,sentiment_str
[TARGET: Opec] Opec reduces estimate on oil demand growth,Opec,Opec reduces estimate on oil demand growth,1,neutral
[TARGET: Oil] Oil prices mixed ahead of US supply report,Oil,Oil prices mixed ahead of US supply report,1,neutral
[TARGET: Makemytrip] Makemytrip expands share sale plan,Makemytrip,Makemytrip expands share sale plan,1,neutral
[TARGET: Gur] Gur closes quiet on some support,Gur,Gur closes quiet on some support,1,neutral
[TARGET: Gur] Gur closes steady on low demand,Gur,Gur closes steady on low demand,1,neutral
[TARGET: Gur] Gur closes steady on thin trade,Gur,Gur closes steady on thin trade,1,neutral
[TARGET: Gur] Gur remains flat in tight movements,Gur,Gur remains flat in tight movements,1,neutral
[TARGET: G-Secs] Popularising G-Secs among retail investors,G-Secs,Popularising G-Secs among retail investors,1,neutral
[TARGET: Gold] Gold trades nearly flat on dull demand,Gold,Gold trades nearly flat on dull demand,1,neutral
[TARGET: ZEE] ZEE announces closure of share buyback programme,ZEE,ZEE announces closure of share buyback programme,1,neutral
[TARGET: ZEE] ZEE Q2 net at Rs 216.3 cr,ZEE,ZEE Q2 net at Rs 216.3 cr,1,neutral
[TARGET: yuan] China to start yuan trading on Tuesday,yuan,China to start yuan trading on Tuesday,1,neutral
[TARGET: YES Bank] BSE inks strategic partnership with YES Bank,YES Bank,BSE inks strategic partnership with YES Bank,1,neutral
[TARGET: BSE] BSE inks strategic partnership with YES Bank,BSE,BSE inks strategic partnership with YES Bank,1,neutral
[TARGET: Yes Bank] Yes Bank launches Sovereign Gold Bond,Yes Bank,Yes Bank launches Sovereign Gold Bond,1,neutral
"[TARGET: Yen] Yen firms in Asia on Iraq, Ukraine jitters",Yen,"Yen firms in Asia on Iraq, Ukraine jitters",1,neutral
[TARGET: Woolworth] Billionaire's stake shakes Woolworth's buyout of David Jones,Woolworth,Billionaire's stake shakes Woolworth's buyout of David Jones,1,neutral
[TARGET: David Jones] Billionaire's stake shakes Woolworth's buyout of David Jones,David Jones,Billionaire's stake shakes Woolworth's buyout of David Jones,1,neutral
[TARGET: Wonderla Holidays] Wonderla Holidays IPO subscribed 42% on Day 1,Wonderla Holidays,Wonderla Holidays IPO subscribed 42% on Day 1,1,neutral
[TARGET: Wonderla Holidays] Wonderla Holidays IPO subscribed 98% on second day,Wonderla Holidays,Wonderla Holidays IPO subscribed 98% on second day,1,neutral
[TARGET: WNS] WNS appoints Ronald Gillette as Chief Operating Officer,WNS,WNS appoints Ronald Gillette as Chief Operating Officer,1,neutral
[TARGET: Wipro] Strong deals crucial for Wipro's growth push,Wipro,Strong deals crucial for Wipro's growth push,1,neutral
[TARGET: Wipro] Ten key takeaways from Wipro Q1 results,Wipro,Ten key takeaways from Wipro Q1 results,1,neutral
[TARGET: Whirlpool] Whirlpool may head to around 450-475: Devang Visaria,Whirlpool,Whirlpool may head to around 450-475: Devang Visaria,1,neutral
[TARGET: Western Coalfields] Western Coalfields CMD D C Garg passes away,Western Coalfields,Western Coalfields CMD D C Garg passes away,1,neutral
[TARGET: VRL Logistics] VRL Logistics IPO grey market premium at 38%,VRL Logistics,VRL Logistics IPO grey market premium at 38%,1,neutral
"[TARGET: Vodafone] IPO after tax row is settled, says Vodafone",Vodafone,"IPO after tax row is settled, says Vodafone",1,neutral
[TARGET: Vodafone] Vodafone gets ready for IPO of Indian arm,Vodafone,Vodafone gets ready for IPO of Indian arm,1,neutral
[TARGET: VMware] VMware appoints Arun Parameswaran as India MD,VMware,VMware appoints Arun Parameswaran as India MD,1,neutral
[TARGET: Videocon D2H] Videocon D2H likely to bring IPO this fiscal,Videocon D2H,Videocon D2H likely to bring IPO this fiscal,1,neutral
[TARGET: Videocon] Videocon appoints Sanjeev Bakshi as COO,Videocon,Videocon appoints Sanjeev Bakshi as COO,1,neutral
[TARGET: Viber] Viber ups marketing efforts with CMO appointment,Viber,Viber ups marketing efforts with CMO appointment,1,neutral
[TARGET: Verizon] Verizon appoints Christopher Formant to head enterprise business,Verizon,Verizon appoints Christopher Formant to head enterprise business,1,neutral
"[TARGET: vanilla] Amidst commodity boom, vanilla remains plain vanilla",vanilla,"Amidst commodity boom, vanilla remains plain vanilla",1,neutral
[TARGET: Universal Commodity Exchange] Universal Commodity Exchange goes live,Universal Commodity Exchange,Universal Commodity Exchange goes live,1,neutral
[TARGET: United Spirits] United Spirits appoints Anand Kripalu as CEO,United Spirits,United Spirits appoints Anand Kripalu as CEO,1,neutral
[TARGET: Unitech] Promoters raise stake to 46.72 pc in Unitech,Unitech,Promoters raise stake to 46.72 pc in Unitech,1,neutral
[TARGET: Uninor] Uninor appoints Grameenphone CTO as new India COO,Uninor,Uninor appoints Grameenphone CTO as new India COO,1,neutral
[TARGET: TV Today] TV Today Q2 profit at Rs 12.83 crore,TV Today,TV Today Q2 profit at Rs 12.83 crore,1,neutral
[TARGET: Tokyo stocks] Tokyo stocks flat by the break,Tokyo stocks,Tokyo stocks flat by the break,1,neutral
[TARGET: TNIIC] Adi Rajaram appointed TNIIC chairman,TNIIC,Adi Rajaram appointed TNIIC chairman,1,neutral
[TARGET: Titan] 4200 is key level for Titan: Ashwani Gujral,Titan,4200 is key level for Titan: Ashwani Gujral,1,neutral
[TARGET: Timex Group] Kapil Kapoor is global COO of Timex Group,Timex Group,Kapil Kapoor is global COO of Timex Group,1,neutral
[TARGET: TIL Limited] TIL Limited can open-up for Rs 900-1200: Ventura,TIL Limited,TIL Limited can open-up for Rs 900-1200: Ventura,1,neutral
[TARGET: Thyrocare Technologies Limited] Thyrocare Technologies Limited files draft IPO papers,Thyrocare Technologies Limited,Thyrocare Technologies Limited files draft IPO papers,1,neutral
[TARGET: Thejo Engineering] Thejo Engineering announces 1:1 maiden bonus,Thejo Engineering,Thejo Engineering announces 1:1 maiden bonus,1,neutral
[TARGET: telecom] Neutral on telecom: Ramanathan K,telecom,Neutral on telecom: Ramanathan K,1,neutral
[TARGET: Technofab Engg] Technofab Engg fix IPO rate at Rs 230-240,Technofab Engg,Technofab Engg fix IPO rate at Rs 230-240,1,neutral
[TARGET: Tata Sons] Tata Sons names Gopichand Katragadda chief technology officer,Tata Sons,Tata Sons names Gopichand Katragadda chief technology officer,1,neutral
[TARGET: Tata Motors] Tata Motors appoints Gajendra Chandel as CHRO,Tata Motors,Tata Motors appoints Gajendra Chandel as CHRO,1,neutral
[TARGET: Tata Communications] Kalyanasundaram resigns as Independent Director of Tata Communications,Tata Communications,Kalyanasundaram resigns as Independent Director of Tata Communications,1,neutral
[TARGET: Talwalkars] Talwalkars can retest 133-140 levels: Ashwani Gujral,Talwalkars,Talwalkars can retest 133-140 levels: Ashwani Gujral,1,neutral
[TARGET: Suzlon] Suzlon board approves cashless restructuring of FCCBs,Suzlon,Suzlon board approves cashless restructuring of FCCBs,1,neutral
[TARGET: Sunteck Realty] Sunteck Realty: Building a solid foundation,Sunteck Realty,Sunteck Realty: Building a solid foundation,1,neutral
[TARGET: Sundaram MF] Harsha Viji is deputy MD of Sundaram MF,Sundaram MF,Harsha Viji is deputy MD of Sundaram MF,1,neutral
[TARGET: Sugar] Sugar closes steady on sporadic buying,Sugar,Sugar closes steady on sporadic buying,1,neutral
[TARGET: Sugar] Sugar ends steady in thin trade,Sugar,Sugar ends steady in thin trade,1,neutral
[TARGET: Sugar] Sugar settles steady on little doing,Sugar,Sugar settles steady on little doing,1,neutral
[TARGET: Sugar] Sugar ends quiet amid sufficient stock positions,Sugar,Sugar ends quiet amid sufficient stock positions,1,neutral
[TARGET: sugar] India produces 14.3 million tonne sugar till mid-February,sugar,India produces 14.3 million tonne sugar till mid-February,1,neutral
[TARGET: Sterling] Sterling steadies after Scottish referendum debate wobble,Sterling,Sterling steadies after Scottish referendum debate wobble,1,neutral
[TARGET: sterling] UK data gives battered sterling some respite,sterling,UK data gives battered sterling some respite,1,neutral
[TARGET: sterling] Red-hot sterling cools a touch after PMI numbers,sterling,Red-hot sterling cools a touch after PMI numbers,1,neutral
[TARGET: Steel] Steel prices end steady in thin trade,Steel,Steel prices end steady in thin trade,1,neutral
[TARGET: steel] Tight movement in steel prices in thin trade,steel,Tight movement in steel prices in thin trade,1,neutral
[TARGET: Spices] Spices hold steady in mute trade,Spices,Spices hold steady in mute trade,1,neutral
[TARGET: SpiceJet] SpiceJet makes top-level changes,SpiceJet,SpiceJet makes top-level changes,1,neutral
[TARGET: Spicejet] Spicejet seeks shareholders' nod to hike promoters holding,Spicejet,Spicejet seeks shareholders' nod to hike promoters holding,1,neutral
[TARGET: small caps] Several small caps trading at eye-popping valuations,small caps,Several small caps trading at eye-popping valuations,1,neutral
[TARGET: Sistema] Sistema on way to market,Sistema,Sistema on way to market,1,neutral
[TARGET: Shoppers Stop] Shoppers Stop elevates Salil Nair to CEO,Shoppers Stop,Shoppers Stop elevates Salil Nair to CEO,1,neutral
[TARGET: Shiva Cement] Neutral on Shiva Cement: Seshadri Bharathan,Shiva Cement,Neutral on Shiva Cement: Seshadri Bharathan,1,neutral
[TARGET: Shell-BG] How will Shell-BG deal impact global energy market,Shell-BG,How will Shell-BG deal impact global energy market,1,neutral
[TARGET: energy market] How will Shell-BG deal impact global energy market,energy market,How will Shell-BG deal impact global energy market,1,neutral
[TARGET: SGX] SGX's India office to woo fund raising corporations,SGX,SGX's India office to woo fund raising corporations,1,neutral
[TARGET: Sesa Sterlite] Prasun Kumar Mukherjee quits Sesa Sterlite,Sesa Sterlite,Prasun Kumar Mukherjee quits Sesa Sterlite,1,neutral
[TARGET: Sensex stocks] Which Sensex stocks should you bet on?,Sensex stocks,Which Sensex stocks should you bet on?,1,neutral
[TARGET: Sensex] Sensex rangebound; top 20 intraday trading ideas,Sensex,Sensex rangebound; top 20 intraday trading ideas,1,neutral
[TARGET: SEC] SEC director with big stock holdings stirs debate,SEC,SEC director with big stock holdings stirs debate,1,neutral
[TARGET: Sebi] Sebi partially lifts curbs on Shantivijay Jewels,Sebi,Sebi partially lifts curbs on Shantivijay Jewels,1,neutral
[TARGET: Shantivijay Jewels] Sebi partially lifts curbs on Shantivijay Jewels,Shantivijay Jewels,Sebi partially lifts curbs on Shantivijay Jewels,1,neutral
[TARGET: Sebi] Sebi seeks clarification on RINL IPO,Sebi,Sebi seeks clarification on RINL IPO,1,neutral
[TARGET: RINL] Sebi seeks clarification on RINL IPO,RINL,Sebi seeks clarification on RINL IPO,1,neutral
"[TARGET: Sebi] Sebi attaches accounts of former Ranbaxy director, wife",Sebi,"Sebi attaches accounts of former Ranbaxy director, wife",1,neutral
"[TARGET: Ranbaxy] Sebi attaches accounts of former Ranbaxy director, wife",Ranbaxy,"Sebi attaches accounts of former Ranbaxy director, wife",1,neutral
[TARGET: Sebi] Maruti-Suzuki deal: Institutional investors approach Sebi,Sebi,Maruti-Suzuki deal: Institutional investors approach Sebi,1,neutral
[TARGET: Maruti-Suzuki] Maruti-Suzuki deal: Institutional investors approach Sebi,Maruti-Suzuki,Maruti-Suzuki deal: Institutional investors approach Sebi,1,neutral
[TARGET: Sebi] Sebi notifies new ESOP regulations,Sebi,Sebi notifies new ESOP regulations,1,neutral
[TARGET: Sebi] Sebi revamps securitisation trustee norms,Sebi,Sebi revamps securitisation trustee norms,1,neutral
[TARGET: SEBI] Centralised online system for investor grievances:SEBI,SEBI,Centralised online system for investor grievances:SEBI,1,neutral
[TARGET: Sebi] Sebi cautions against illicit high-return schemes,Sebi,Sebi cautions against illicit high-return schemes,1,neutral
[TARGET: Sebi] Sebi proposes restrictions on 'wilful defaulters',Sebi,Sebi proposes restrictions on 'wilful defaulters',1,neutral
"[TARGET: Sebi] New listing, de-listing regulations next month: Sebi",Sebi,"New listing, de-listing regulations next month: Sebi",1,neutral
[TARGET: Sebi] Sebi announces new set of ESOP regulations,Sebi,Sebi announces new set of ESOP regulations,1,neutral
[TARGET: Sebi] Sebi considers proposal on cross-currency futures pairs,Sebi,Sebi considers proposal on cross-currency futures pairs,1,neutral
[TARGET: Sebi] Sebi plans new norms for municipal bonds,Sebi,Sebi plans new norms for municipal bonds,1,neutral
"[TARGET: Sebi] Sebi revamps committee on disclosures, accounting standards",Sebi,"Sebi revamps committee on disclosures, accounting standards",1,neutral
[TARGET: Sebi] Sebis reading of control issue confounds experts,Sebi,Sebis reading of control issue confounds experts,1,neutral
[TARGET: Sebi] 20 companies approach Sebi with public offer proposals,Sebi,20 companies approach Sebi with public offer proposals,1,neutral
[TARGET: Sebi] Cabinet to consider proposal for Sebi ordinance tomorrow,Sebi,Cabinet to consider proposal for Sebi ordinance tomorrow,1,neutral
"[TARGET: SEBI] Insider trading on SEBI Chief, UK Sinha's radar",SEBI,"Insider trading on SEBI Chief, UK Sinha's radar",1,neutral
[TARGET: Sebi] Minimum shareholding norm not for non-controlling entity: Sebi,Sebi,Minimum shareholding norm not for non-controlling entity: Sebi,1,neutral
[TARGET: Sebi] President Pranab Mukherjee clears re-promulgation of Sebi ordinance,Sebi,President Pranab Mukherjee clears re-promulgation of Sebi ordinance,1,neutral
[TARGET: Sebi] Sebi asks mutual funds to adopt high-deposit districts,Sebi,Sebi asks mutual funds to adopt high-deposit districts,1,neutral
[TARGET: Sebi] Sebi calls for systemic safeguards in Algo trades,Sebi,Sebi calls for systemic safeguards in Algo trades,1,neutral
[TARGET: Sebi] Sebi directs banks to defreeze accounts of Somanis,Sebi,Sebi directs banks to defreeze accounts of Somanis,1,neutral
[TARGET: Sebi] Sebi grants new status to three clearing corporations,Sebi,Sebi grants new status to three clearing corporations,1,neutral
[TARGET: Sebi] Sebi initiates proceeding against entities in ponzi schemes,Sebi,Sebi initiates proceeding against entities in ponzi schemes,1,neutral
[TARGET: Sebi] Sebi may seek relief for commodity exchange warehouses,Sebi,Sebi may seek relief for commodity exchange warehouses,1,neutral
[TARGET: Sebi] Sebi mulls prudential governance norms for stock brokers,Sebi,Sebi mulls prudential governance norms for stock brokers,1,neutral
[TARGET: Sebi] Sebi orders defreezing of accounts of five entities,Sebi,Sebi orders defreezing of accounts of five entities,1,neutral
[TARGET: Sebi] Sebi plans annual information memorandum for listed companies,Sebi,Sebi plans annual information memorandum for listed companies,1,neutral
[TARGET: Sebi] Sebi proposes stricter rules for securitisation deal trustees,Sebi,Sebi proposes stricter rules for securitisation deal trustees,1,neutral
[TARGET: Sebi] Sebi to conitnue with more than 300 proceedings,Sebi,Sebi to conitnue with more than 300 proceedings,1,neutral
[TARGET: Sebi] Sebi to study surveillance systems in overseas markets,Sebi,Sebi to study surveillance systems in overseas markets,1,neutral
"[TARGET: Sebi] Sebi, exchanges to tighten grip on speculative stocks",Sebi,"Sebi, exchanges to tighten grip on speculative stocks",1,neutral
[TARGET: Sebi] Sebi's public offer norms bat for retail investors,Sebi,Sebi's public offer norms bat for retail investors,1,neutral
[TARGET: Sebi] Sebi's toll-free service for investors open whole week,Sebi,Sebi's toll-free service for investors open whole week,1,neutral
[TARGET: SEBI] Single Demat A/c for all financial investments: SEBI,SEBI,Single Demat A/c for all financial investments: SEBI,1,neutral
[TARGET: SCI] SCI ex-chairman S Hajara joins Doehle Danautic India,SCI,SCI ex-chairman S Hajara joins Doehle Danautic India,1,neutral
[TARGET: Doehle Danautic India] SCI ex-chairman S Hajara joins Doehle Danautic India,Doehle Danautic India,SCI ex-chairman S Hajara joins Doehle Danautic India,1,neutral
[TARGET: SBI] 2270-2350 is the range for SBI: Sandeep Wagle,SBI,2270-2350 is the range for SBI: Sandeep Wagle,1,neutral
[TARGET: SBI] Cover up all positions for SBI: Mitesh Thacker,SBI,Cover up all positions for SBI: Mitesh Thacker,1,neutral
"[TARGET: Saudi market] Saudi market opens, may affect global fund flows",Saudi market,"Saudi market opens, may affect global fund flows",1,neutral
[TARGET: Sanghvi Forging and Engineering Ltd] Sanghvi Forging and Engineering Ltd IPO opens tomorrow,Sanghvi Forging and Engineering Ltd,Sanghvi Forging and Engineering Ltd IPO opens tomorrow,1,neutral
[TARGET: Samsung Everland] Samsung Everland IPO seen spurring Samsung Group restructure,Samsung Everland,Samsung Everland IPO seen spurring Samsung Group restructure,1,neutral
[TARGET: Samsung Electronic India] Samsung Electronic India enterprise business head quits,Samsung Electronic India,Samsung Electronic India enterprise business head quits,1,neutral
[TARGET: Samsonite International] Samsonite International appoints Ramesh Tainwala as global COO,Samsonite International,Samsonite International appoints Ramesh Tainwala as global COO,1,neutral
[TARGET: SAIL] Soiles Bhattacharya takes interim charge of SAIL,SAIL,Soiles Bhattacharya takes interim charge of SAIL,1,neutral
"[TARGET: SAIL] SAIL sets rs. 7,000-crore FPO process in motion",SAIL,"SAIL sets rs. 7,000-crore FPO process in motion",1,neutral
[TARGET: Rupee] Expert's take: Rupee-dollar pair to test 45.30-45.50 levels,Rupee,Expert's take: Rupee-dollar pair to test 45.30-45.50 levels,1,neutral
[TARGET: dollar] Expert's take: Rupee-dollar pair to test 45.30-45.50 levels,dollar,Expert's take: Rupee-dollar pair to test 45.30-45.50 levels,1,neutral
[TARGET: rupee] Budget 2014 mustn't sell rupee short,rupee,Budget 2014 mustn't sell rupee short,1,neutral
[TARGET: rupee] Cabinet decides on rupee sign today,rupee,Cabinet decides on rupee sign today,1,neutral
[TARGET: Rupee] Rupee little changed in intraday trade,Rupee,Rupee little changed in intraday trade,1,neutral
[TARGET: Rupee] Rupee ends little changed; fund flows in focus,Rupee,Rupee ends little changed; fund flows in focus,1,neutral
[TARGET: Rupee] Rupee swings hand arbitrage advantage to day traders,Rupee,Rupee swings hand arbitrage advantage to day traders,1,neutral
"[TARGET: Rubber Board] Output not stretched, says Rubber Board",Rubber Board,"Output not stretched, says Rubber Board",1,neutral
[TARGET: RP-Sanjiv Goenka Group] RP-Sanjiv Goenka Group to begin new CSR initiatives,RP-Sanjiv Goenka Group,RP-Sanjiv Goenka Group to begin new CSR initiatives,1,neutral
[TARGET: Rockefeller Foundation Board] Ravi Venkatesan joins Rockefeller Foundation Board,Rockefeller Foundation Board,Ravi Venkatesan joins Rockefeller Foundation Board,1,neutral
[TARGET: RIL] AGM can open new chapter for RIL shareholders,RIL,AGM can open new chapter for RIL shareholders,1,neutral
[TARGET: richly valued stocks] Should you opt for richly valued stocks?,richly valued stocks,Should you opt for richly valued stocks?,1,neutral
[TARGET: REPCO Bank] Rs 15.26 crore dividend cheque from REPCO Bank,REPCO Bank,Rs 15.26 crore dividend cheque from REPCO Bank,1,neutral
[TARGET: Renuka] Wilmar deal: Not much for Renuka investors,Renuka,Wilmar deal: Not much for Renuka investors,1,neutral
[TARGET: Wilmar] Wilmar deal: Not much for Renuka investors,Wilmar,Wilmar deal: Not much for Renuka investors,1,neutral
[TARGET: Religare Securities] Religare Securities launches virtual stock trading platform,Religare Securities,Religare Securities launches virtual stock trading platform,1,neutral
[TARGET: Religare Capital Markets] Sandip Bansal joins Religare Capital Markets,Religare Capital Markets,Sandip Bansal joins Religare Capital Markets,1,neutral
[TARGET: Religare] Religare's top four picks for 2014,Religare,Religare's top four picks for 2014,1,neutral
[TARGET: Reliance Industries] Reliance Industries announces 10-year US dollar bond,Reliance Industries,Reliance Industries announces 10-year US dollar bond,1,neutral
[TARGET: Reed Exhibitions] Reed Exhibitions looks to expand in India,Reed Exhibitions,Reed Exhibitions looks to expand in India,1,neutral
[TARGET: Reckitt Benckiser] Reckitt Benckiser names Nitish Kapoor as India MD,Reckitt Benckiser,Reckitt Benckiser names Nitish Kapoor as India MD,1,neutral
"[TARGET: real estate] Which is better, real estate or stocks?",real estate,"Which is better, real estate or stocks?",1,neutral
"[TARGET: stocks] Which is better, real estate or stocks?",stocks,"Which is better, real estate or stocks?",1,neutral
"[TARGET: RBI] RBI, bourses weigh dollar delivery in futures trade",RBI,"RBI, bourses weigh dollar delivery in futures trade",1,neutral
"[TARGET: bourses] RBI, bourses weigh dollar delivery in futures trade",bourses,"RBI, bourses weigh dollar delivery in futures trade",1,neutral
[TARGET: RBI] RBI Deputy Governor Anand Sinha retires,RBI,RBI Deputy Governor Anand Sinha retires,1,neutral
[TARGET: RBI] Cash rates stabilise after RBI's MSF auction,RBI,Cash rates stabilise after RBI's MSF auction,1,neutral
[TARGET: RBI] RBI moves to curb novel bond structure,RBI,RBI moves to curb novel bond structure,1,neutral
[TARGET: RBI] What to expect from RBI policy tomorrow,RBI,What to expect from RBI policy tomorrow,1,neutral
[TARGET: RBI] RBI bets on 'shut period' to improve liquidity,RBI,RBI bets on 'shut period' to improve liquidity,1,neutral
[TARGET: RBI] RBI tightens provisioning norms for unhedged forex exposure,RBI,RBI tightens provisioning norms for unhedged forex exposure,1,neutral
[TARGET: Raw material] Raw material bull market fades as supply expands,Raw material,Raw material bull market fades as supply expands,1,neutral
[TARGET: Ranbaxy] Ranbaxy for short term: Deepak Mohoni,Ranbaxy,Ranbaxy for short term: Deepak Mohoni,1,neutral
[TARGET: Ramsarup] Upside capped at 90 for Ramsarup: Siddth Capital,Ramsarup,Upside capped at 90 for Ramsarup: Siddth Capital,1,neutral
[TARGET: Rallis India] Rallis India to launch branded pomegranates,Rallis India,Rallis India to launch branded pomegranates,1,neutral
[TARGET: quality stocks] Stay with quality stocks: Deven Choksey,quality stocks,Stay with quality stocks: Deven Choksey,1,neutral
[TARGET: Puravankara Projects] Puravankara Projects gives 70% dividend to non-promoters,Puravankara Projects,Puravankara Projects gives 70% dividend to non-promoters,1,neutral
[TARGET: Pulses futures] Pulses futures remain steady in thin trade,Pulses futures,Pulses futures remain steady in thin trade,1,neutral
[TARGET: Pulses] Pulses remain flat in thin trade,Pulses,Pulses remain flat in thin trade,1,neutral
[TARGET: Pulses] Pulses remain steady in thin trade,Pulses,Pulses remain steady in thin trade,1,neutral
[TARGET: Pulses] Pulses prices end steady in tight movements,Pulses,Pulses prices end steady in tight movements,1,neutral
[TARGET: pulses] Prices of pulses remain steady in thin trade,pulses,Prices of pulses remain steady in thin trade,1,neutral
[TARGET: PTC India] PTC India appoints Deepak Amitabh as CMD,PTC India,PTC India appoints Deepak Amitabh as CMD,1,neutral
"[TARGET: PSU-ETF] Finally, PSU-ETF launched; subscription from next week",PSU-ETF,"Finally, PSU-ETF launched; subscription from next week",1,neutral
[TARGET: PSU bonds] PSU bonds match equity returns in fourth quarter,PSU bonds,PSU bonds match equity returns in fourth quarter,1,neutral
[TARGET: equity] PSU bonds match equity returns in fourth quarter,equity,PSU bonds match equity returns in fourth quarter,1,neutral
[TARGET: Principal MF] Principal MF appoints PVK Mohan as Head-Equity,Principal MF,Principal MF appoints PVK Mohan as Head-Equity,1,neutral
[TARGET: PricewaterhouseCoopers] PricewaterhouseCoopers to conduct special audit of MCX,PricewaterhouseCoopers,PricewaterhouseCoopers to conduct special audit of MCX,1,neutral
[TARGET: MCX] PricewaterhouseCoopers to conduct special audit of MCX,MCX,PricewaterhouseCoopers to conduct special audit of MCX,1,neutral
"[TARGET: power sector] Neutral on power sector: Pankaj Pandey, ICICI Direct",power sector,"Neutral on power sector: Pankaj Pandey, ICICI Direct",1,neutral
[TARGET: power gear makers] Overseas funds plug into power gear makers,power gear makers,Overseas funds plug into power gear makers,1,neutral
[TARGET: power] Participate in power through other sectors: Vijai Mantri,power,Participate in power through other sectors: Vijai Mantri,1,neutral
[TARGET: PNB] PNB: Asset quality improves but payout cut disturbing,PNB,PNB: Asset quality improves but payout cut disturbing,1,neutral
[TARGET: PMC Infratech] Long-term investors may go for PMC Infratechs IPO,PMC Infratech,Long-term investors may go for PMC Infratechs IPO,1,neutral
[TARGET: Philips Healthcare] Sameer Garde appointed Philips Healthcare South Asia President,Philips Healthcare,Sameer Garde appointed Philips Healthcare South Asia President,1,neutral
[TARGET: pharmaceutical sector] Things that influence pharmaceutical sector growth story,pharmaceutical sector,Things that influence pharmaceutical sector growth story,1,neutral
[TARGET: penny stocks] Seven rules for investing in penny stocks,penny stocks,Seven rules for investing in penny stocks,1,neutral
[TARGET: Pegasystems Inc] Pegasystems Inc acquires MeshLabs Software,Pegasystems Inc,Pegasystems Inc acquires MeshLabs Software,1,neutral
[TARGET: MeshLabs Software] Pegasystems Inc acquires MeshLabs Software,MeshLabs Software,Pegasystems Inc acquires MeshLabs Software,1,neutral
[TARGET: Parabolic Drugs] Parabolic Drugs IPO opens on June 14,Parabolic Drugs,Parabolic Drugs IPO opens on June 14,1,neutral
[TARGET: OnMobile] OnMobile appoints Sanjay Bhambri as Regional VP,OnMobile,OnMobile appoints Sanjay Bhambri as Regional VP,1,neutral
[TARGET: ONGC] Sudhir Vasudeva to head ONGC,ONGC,Sudhir Vasudeva to head ONGC,1,neutral
